Gene name,IAS-range,Accession Number,Uniprot ID,Referecne (PMID/uniprot),Protein Length,Domain,Domain-range,Comments,ENST,Canonical_Source,Protein name,Gene names,Protein length,Species,Autoinhibitory regions,References,Description (Refer to H and I),Evidence,Structure?,PDB, 
,,,Q5TJ55,,,,,,,,Formin-D (Diaphanous-related formin dia4),forD drf4 DDB_G0282245,1214,Dictyostelium discoideum (Slime mold),257-306 (DID domain);1134-1158 (DAD domain),17699595,"Formins are conserved actin nucleators responsible for the assembly of diverse actin structures. In a study with Formin-3 (O94532), the autoinhibition mechanism involves the intramolecular interaction between N-terminal DID domain and C-terminal DAD domain. This interaction is disrupted by Rho GTPase that is able to bind to the DID domain.",Annotated by sequence similarity,,,
,,,Q1ZXK2,,,,,,,,Formin-G,forG DDB_G0277175,1074,Dictyostelium discoideum (Slime mold),267-307 (DID domain);1013-1051 (DAD domain),17699595,"Formins are conserved actin nucleators responsible for the assembly of diverse actin structures. In a study with Formin-3 (O94532), the autoinhibition mechanism involves the intramolecular interaction between N-terminal DID domain and C-terminal DAD domain. This interaction is disrupted by Rho GTPase that is able to bind to the DID domain.",Annotated by sequence similarity,,,
,,,Q9VUC6,,,,,,,,Formin-like protein (Formin related in leukocytes),Frl CG32138,1183,Drosophila melanogaster (Fruit fly),82-143(SH3 domain);247-270(SH2-CD linker);406-433(Activation loop);525-537(C-terminal regulatory tail),"25302671, 15489910","The Src-family kinases include Src, Hck, Fyn, Lyn, Lck, Yes, Fgr, Blk and Frk. They are involved in diverse cellular functions such as immune responses and cell survival and proliferation. Autoinhibition of FYN may be achieved by the intramolecular interaction between N-terminal SH3 domain and the linker between SH2 domain and catalytic domain, and another intramolecular interaction between SH2 domain and C-terminal tail.",Annotated by sequence similarity,,,
,,,Q00422,,,,,,,,GA-binding protein alpha chain (GABP subunit alpha),Gabpa E4tf1a,454,Mus musculus (Mouse),471-502(C-terminal autoinhibitory region),,Annotation identified by sequence similarity was extracted from UniProt. The C-terminus region (471-502) binds calmodulin in a calcium-dependent fashion and contains probably an autoinhibitory domain.,Annotated by sequence similarity,,,
,,,Q06546,,,,,,,,GA-binding protein alpha chain (GABP subunit alpha) (Nuclear respiratory factor 2 subunit alpha) (Transcription factor E4TF1-60),GABPA E4TF1A,454,Homo sapiens (Human),401-430(C-terminal regulatory region),9461436,"Annotation was made based on sequence similarity with Gabpa(Q00422, Mus musculus ). GA-binding protein (GABP) is a cellular heteromeric DNA-binding protein involved in the activation of nuclear genes encoding mitochondrial proteins. The C-terminal extension of GABP alpha interfere with the DNA binding of ETS domain. The binding of GABP beta to the C-terminal extension rearranges the structure of ETS domain to enhance DNA binding.",Annotated by sequence similarity,,,
,,,P15442,,,,,,,,eIF-2-alpha kinase GCN2 (EC 2.7.11.1) (General control non-derepressible protein 2) (Serine/threonine-protein kinase GCN2),GCN2 AAS1 YDR283C,1659,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),354-361(Autoinhibitory site in hinge region),20015111,"The cytosolic adaptors GGA1-3 mediate sorting of transmembrane proteins. GGA1 contains an autoinhibitory region in hinge region between GAT and GAE domains that is activated by the phosphorylation of a serine positioned three residues upstream of the DXXLL motif. Autoinhibition is achieved by the interaction between DXXLL site and the VHS domain in CGGA1, and the phosphoserine upstream of the DXXLL motif facilitates this interaction.",Annotated by sequence similarity,,,
,,,Q6P5E6,,,,,,,,"ADP-ribosylation factor-binding protein GGA2 (Gamma-adaptin-related protein 2) (Golgi-localized, gamma ear-containing, ARF-binding protein 2)",Gga2 Kiaa1080,603,Mus musculus (Mouse),384-391(Autoinhibitory site in hinge region),20015111,"The cytosolic adaptors GGA1-3 mediate sorting of transmembrane proteins. GGA1 contains an autoinhibitory region in hinge region that is activated by the phosphorylation of a serine positioned three residues upstream of the DXXLL motif. Autoinhibition is achieved by the interaction between DXXLL site and the VHS domain in CGGA1, and the phosphoserine upstream of the DXXLL motif facilitates this interaction.",Annotated by sequence similarity,,,
,,,Q8EQP4,,,,,,,,Glutamine synthetase transcription repressor,glnR,132,Oceanobacillus iheyensis (strain DSM 14371 / CIP 107618 / JCM 11309 / KCTC 3954 / HTE831),92-117(C-terminal autoinhibitory region),18331450,"GlnR is a repressor that regulates gene expression in response to changes in nitrogen availability. The C-terminal autoinhibitory region was identified by sequence similarity with GlnR (P37582), which impedes the dimerization of GlnR and consequently prevents the binding of GlnR N-terminal domain to DNA.",Annotated by sequence similarity,,,
,,,P62173,,,,,,,,HTH-type transcriptional regulator GlnR,glnR,129,Bacillus cereus,91-118(C-terminal autoinhibitory region),18331450,"GlnR is a repressor that regulates gene expression in response to changes in nitrogen availability. The C-terminal autoinhibitory region was identified by sequence similarity with GlnR (P37582), which impedes the dimerization of GlnR and consequently prevents the binding of GlnR N-terminal domain to DNA.",Annotated by sequence similarity,,,
,,,A0A089XS13,,,,,,,,Glutamine synthetase (HTH-type transcriptional regulator GlnR) (MerR family transcriptional regulator),glnR AMHIJAGA_00617 B8W91_12720 BW154_12145 D6125_06355 EO246_08585 EQZ99_04960 FNJ53_10870 GFV15_00725 GII02_09065 GJ670_12555 GTP06_10840 GTP08_08385 HZ322_11370 I6G22_06775,121,Lactococcus lactis,92-117(C-terminal autoinhibitory region),18331450,"GlnR is a repressor that regulates gene expression in response to changes in nitrogen availability. The C-terminal autoinhibitory region was identified by sequence similarity with GlnR (P37582), which impedes the dimerization of GlnR and consequently prevents the binding of GlnR N-terminal domain to DNA.",Annotated by sequence similarity,,,
,,,A0A089RUK0,,,,,,,,Glutamine synthetase (MerR family transcriptional regulator) (Transcriptional regulator),glnR B5G36_05935 B6U43_02995 B6U45_02770 B6U60_02535 B6U61_03255 B7R82_06010 BHF65_08170 CR166_05880 DB362_02045 FGO86_03235 FYL24_02310 FYL24_04175 FYL25_00675 FYM87_02960 GKC33_04155 GKC34_04110 HRD59_00700 HYH11_06395 LSJ_0602,128,Ligilactobacillus salivarius,88-114(C-terminal autoinhibitory region),18331450,"GlnR is a repressor that regulates gene expression in response to changes in nitrogen availability. The C-terminal autoinhibitory region was identified by sequence similarity with GlnR (P37582), which impedes the dimerization of GlnR and consequently prevents the binding of GlnR N-terminal domain to DNA.",Annotated by sequence similarity,,,
,,,P62172,,,,,,,,HTH-type transcriptional regulator GlnR,glnR BA_3834 GBAA_3834 BAS3550,129,Bacillus anthracis,92-117(C-terminal autoinhibitory region),18331450,"GlnR is a repressor that regulates gene expression in response to changes in nitrogen availability. The C-terminal autoinhibitory region was identified by sequence similarity with GlnR (P37582), which impedes the dimerization of GlnR and consequently prevents the binding of GlnR N-terminal domain to DNA.",Annotated by sequence similarity,,,
,,,P62174,,,,,,,,HTH-type transcriptional regulator GlnR,glnR BC_3706,129,Bacillus cereus (strain ATCC 14579 / DSM 31 / CCUG 7414 / JCM 2152 / NBRC 15305 / NCIMB 9373 / NCTC 2599 / NRRL B-3711),94-118(C-terminal autoinhibitory region),18331450,"GlnR is a repressor that regulates gene expression in response to changes in nitrogen availability. The C-terminal autoinhibitory region was identified by sequence similarity with GlnR (P37582), which impedes the dimerization of GlnR and consequently prevents the binding of GlnR N-terminal domain to DNA.",Annotated by sequence similarity,,,
,,,P37582,,,,,,,,HTH-type transcriptional regulator GlnR,glnR BSU17450,135,Bacillus subtilis (strain 168),85-110(C-terminal autoinhibitory region),18331450,"GlnR is a repressor that regulates gene expression in response to changes in nitrogen availability. The C-terminal autoinhibitory region was identified by sequence similarity with GlnR (P37582), which impedes the dimerization of GlnR and consequently prevents the binding of GlnR N-terminal domain to DNA.",Annotated by sequence similarity,,,
,,,A0A1Y0VZP7,,,,,,,,HTH-type transcriptional regulator (HTH-type transcriptional regulator GlnR) (MerR family transcriptional regulator),glnR C7M46_01701 GBO79_00600 GBP32_00600 I6H67_05585 S100892_01426,121,Pediococcus pentosaceus,95-121(C-terminal autoinhibitory region),18331450,"GlnR is a repressor that regulates gene expression in response to changes in nitrogen availability. The C-terminal autoinhibitory region was identified by sequence similarity with GlnR (P37582), which impedes the dimerization of GlnR and consequently prevents the binding of GlnR N-terminal domain to DNA.",Annotated by sequence similarity,,,
,,,A0A656DY76,,,,,,,,Protein GlnR,glnR ERS409295_01597,124,S. pneumoniae,85-114(C-terminal autoinhibitory region),18331450,"GlnR is a repressor that regulates gene expression in response to changes in nitrogen availability. The C-terminal autoinhibitory region was identified by sequence similarity with GlnR (P37582), which impedes the dimerization of GlnR and consequently prevents the binding of GlnR N-terminal domain to DNA.",Annotated by sequence similarity,,,
,,,A0A0D8BQY0,,,,,,,,HTH-type transcriptional regulator glnR,glnR LG52_1744,133,Geobacillus kaustophilus,88-112(C-terminal autoinhibitory region),18331450,"GlnR is a repressor that regulates gene expression in response to changes in nitrogen availability. The C-terminal autoinhibitory region was identified by sequence similarity with GlnR (P37582), which impedes the dimerization of GlnR and consequently prevents the binding of GlnR N-terminal domain to DNA.",Annotated by sequence similarity,,,
,,,P43249,,,,,,,,G protein-coupled receptor kinase 5 (EC 2.7.11.16) (G protein-coupled receptor kinase GRK5),GRK5 GPRK5,590,Bos taurus (Bovine),563-590(autoinhibitory domain),9813065,"Annotation was made based on sequence similarity with GRK5(P34947, Homo sapiens). GRK5(G protein-coupled receptor kinase 5) phosphorylates a variety of GPCRs, including adrenergic receptors, muscarinic acetylcholine receptors (more specifically Gi-coupled M2/M4 subtypes), dopamine receptors and opioid receptors. In addition to GPCRs, GRK5 also phosphorylates various substrates: Hsc70-interacting protein/ST13, TP53/p53, HDAC5, and arrestin-1/ARRB1. GRK5 has an autoinhibitory domain, because its deletion increases GRK5 affinity for both phospholipids and receptor by 3-4 fold. The efficacy of the autoinhibition is enhanced by PKC phosphorylation or calmodulin-stimulated autophosphorylation.",Annotated by sequence similarity,,,
,,,Q9EST1,,,,,,,,"Gasdermin-A (Gasdermin-1) (Gasdermin-A1) [Cleaved into: Gasdermin-A, N-terminal (GSDMA-NT); Gasdermin-A, C-terminal (GSDMA-CT)]",Gsdma Gsdm Gsdm1 Gsdma1,446,Mus musculus (Mouse),252-416(C-terminal  gasdermin domain),"26375003, 27281216 ","Gasdermin proteins are a pore-forming protein causing membrane permeabilization and pyroptosis, and functions downstream of the inflammatory caspases. The C-terminal  gasdermin domain may adopt an intramolecular complex with the N-terminal domain, which may inhibit the activation of the N-terminal gasdermin domain as observed in GSDMD (P57764).",Annotated by sequence similarity,,,
,,,Q32M21,,,,,,,,"Gasdermin-A2 (Gasdermin-2) [Cleaved into: Gasdermin-A2, N-terminal (GSDMA2-NT); Gasdermin-A2, C-terminal (GSDMA2-CT)]",Gsdma2 Gsdm2,443,Mus musculus (Mouse),285-428(C-terminal  gasdermin domain),"26375003, 27281216 ","Gasdermin proteins are a pore-forming protein causing membrane permeabilization and pyroptosis, and functions downstream of the inflammatory caspases. The C-terminal  gasdermin domain may adopt an intramolecular complex with the N-terminal domain, which may inhibit the activation of the N-terminal gasdermin domain as observed in GSDMD (P57764).",Annotated by sequence similarity,,,
,,,P85967,,,,,,,,"Gasdermin-C [Cleaved into: Gasdermin-C, N-terminal (GSDMC-NT); Gasdermin-C, C-terminal (GSDMC-CT)]",Gsdmc,474,Rattus norvegicus (Rat),273-442(C-terminal  gasdermin domain),"26375003, 27281216 ","Gasdermin proteins are a pore-forming protein causing membrane permeabilization and pyroptosis, and functions downstream of the inflammatory caspases. The C-terminal  gasdermin domain may adopt an intramolecular complex with the N-terminal domain, which may inhibit the activation of the N-terminal gasdermin domain as observed in GSDMD (P57764).",Annotated by sequence similarity,,,
,,,Q2KHK6,,,,,,,,"Gasdermin-C2 [Cleaved into: Gasdermin-C2, N-terminal (GSDMC2-NT); Gasdermin-C2, C-terminal (GSDMC2-CT)]",Gsdmc2,480,Mus musculus (Mouse),270-441(C-terminal  gasdermin domain),"26375003, 27281216 ","Gasdermin proteins are a pore-forming protein causing membrane permeabilization and pyroptosis, and functions downstream of the inflammatory caspases. The C-terminal  gasdermin domain may adopt an intramolecular complex with the N-terminal domain, which may inhibit the activation of the N-terminal gasdermin domain as observed in GSDMD (P57764).",Annotated by sequence similarity,,,
,,,Q8CB12,,,,,,,,"Gasdermin-C3 [Cleaved into: Gasdermin-C3, N-terminal (GSDMC3-NT); Gasdermin-C3, C-terminal (GSDMC3-CT)]",Gsdmc3,480,Mus musculus (Mouse),272-441(C-terminal  gasdermin domain),"26375003, 27281216 ","Gasdermin proteins are a pore-forming protein causing membrane permeabilization and pyroptosis, and functions downstream of the inflammatory caspases. The C-terminal  gasdermin domain may adopt an intramolecular complex with the N-terminal domain, which may inhibit the activation of the N-terminal gasdermin domain as observed in GSDMD (P57764).",Annotated by sequence similarity,,,
