Protein name,Gene names,Protein length,Uniprot ID,Species,Autoinhibitory regions,References,Description (Refer to H and I),Evidence,Structure?,PDB
Adapter molecule crk (CRK2) (SH2/SH3 adaptor crk),crk,296,P87378,Xenopus laevis (African clawed frog),217-289(C-terminal SH3 domain),"17515907, 8183562","CRK regulates transcription and cytoskeletal reorganization for cell growth and motility by linking tyrosine kinases to small G proteins. The SH2 and nSH3 domains are used to recruit their target proteins. The interaction between SH2 and inter-domain linker between nSH3 and cSH3 detaches the SH2-targeting proteins. In mouse CRK (Q64010) mutant experiments, it was discovered that cSH3 negatively regulates the function of nSH3. The autoinhibitory region of crk of Xenopus laevis was annotated by sequence similarity.",Annotated by sequence similarity,,
Adapter molecule crk (Proto-oncogene c-Crk) (p38),CRK,305,Q04929,Gallus gallus (Chicken),225-297(C-terminal SH3 domain),"17515907, 8183562","CRK regulates transcription and cytoskeletal reorganization for cell growth and motility by linking tyrosine kinases to small G proteins. The SH2 and nSH3 domains are used to recruit their target proteins. The interaction between SH2 and inter-domain linker between nSH3 and cSH3 detaches the SH2-targeting proteins. In mouse CRK (Q64010) mutant experiments, it was discovered that cSH3 negatively regulates the function of nSH3. The autoinhibitory region of crk of Gallus gallus was annotated by sequence similarity.",Annotated by sequence similarity,,
Adapter molecule crk (Proto-oncogene c-Crk) (p38),Crk Crko,304,Q63768,Rattus norvegicus (Rat),224-296(C-terminal SH3 domain),"17515907, 8183562","CRK regulates transcription and cytoskeletal reorganization for cell growth and motility by linking tyrosine kinases to small G proteins. The SH2 and nSH3 domains are used to recruit their target proteins. The interaction between SH2 and inter-domain linker between nSH3 and cSH3 detaches the SH2-targeting proteins. In mouse CRK (Q64010) mutant experiments, it was discovered that cSH3 negatively regulates the function of nSH3. The autoinhibitory region of crk of Gallus gallus was annotated by sequence similarity.",Annotated by sequence similarity,,
Crk-like protein,CRKL,303,P46109,Homo sapiens (Human),184-296(C-terminal SH3 domain),"17515907, 8183562","CRK-like protein may mediate the transduction of intracellular signals, and composed of three domains (SH3, nSH3, and cSH3) as CRK does. According to CRK autoinhibition studies including mouse CRK (Q64010), the SH2 and nSH3 domains are used to recruit their target proteins. The interaction between SH2 and inter-domain linker between nSH3 and cSH3 detaches the SH2-targeting proteins. In addition, cSH3 negatively regulates the function of nSH3.",Annotated by sequence similarity,,
Crk-like protein,Crkl Crkol,303,P47941,Mus musculus (Mouse),184-296(C-terminal SH3 domain),"17515907, 8183562","CRK-like protein may mediate the transduction of intracellular signals, and composed of three domains (SH3, nSH3, and cSH3) as CRK does. According to CRK autoinhibition studies including mouse CRK (Q64010), the SH2 and nSH3 domains are used to recruit their target proteins. The interaction between SH2 and inter-domain linker between nSH3 and cSH3 detaches the SH2-targeting proteins. In addition, cSH3 negatively regulates the function of nSH3.",Annotated by sequence similarity,,
Macrophage colony-stimulating factor 1 receptor (CSF-1 receptor) (CSF-1-R) (CSF-1R) (M-CSF-R) (EC 2.7.10.1) (Proto-oncogene c-Fms) (CD antigen CD115),CSF1R FMS,972,P07333,Homo sapiens (Human),539-576(Juxtamembrane domain),"18680722, 33304904, 11080633, 19658168","CSF1R is a tyrosine-protein kinase that acts as cell-surface receptor for CSF1 and IL34 and plays an essential role in the regulation of survival, proliferation and differentiation of hematopoietic precursor cells, especially mononuclear phagocytes, such as macrophages and monocytes. CSF1R contains a conserved juxtamembrane region that may autoinhibit the kinase domain of CSF1R. Like other receptor tyrosine kinases, CSF1R may have other autoinhibitory regions.",Annotated by sequence similarity,,
Casein kinase I isoform delta (CKI-delta) (CKId) (EC 2.7.11.1) (Tau-protein kinase CSNK1D) (EC 2.7.11.26),CSNK1D HCKID,415,P48730,Homo sapiens (Human),317-342(C-terminal domain),9430669,"Casein kinase I epsilon (CSNK1D) is a member of CKI family and is involved in signaling, circadian clock, DNA repair, and metabolism. In a study with human CSNK1E (P49674), proteolytic lysis of C-terminal region relieves autoinhibition.",Annotated by sequence similarity,,
Casein kinase I isoform epsilon (CKI-epsilon) (CKIe) (EC 2.7.11.1),Csnk1e,416,Q9JMK2,Mus musculus (Mouse),293-416(C-terminal domain),9430669,"Annotation was made based on sequence similarity with CSNK1E(P49674, Homo sapiens). Casein kinase I epsilon (CSNK1E) is a member of CKI family and is involved in signaling, circadian clock, DNA repair, and metabolism. The tail of autophosphorylated CKI? interacts with the kinase domain to block the active site. Proteolytic lysis of C-terminal region relieves autoinhibition.",Annotated by sequence similarity,,
Casein kinase I isoform epsilon (CKI-epsilon) (CKIe) (EC 2.7.11.1),CSNK1E DBT RCJMB04_5k10,416,Q5ZLL1,Gallus gallus (Chicken),293-416(C-terminal domain),9430669,"Annotation was made based on sequence similarity with CSNK1E(P49674, Homo sapiens). Casein kinase I epsilon (CSNK1E) is a member of CKI family and is involved in signaling, circadian clock, DNA repair, and metabolism. The tail of autophosphorylated CKI? interacts with the kinase domain to block the active site. Proteolytic lysis of C-terminal region relieves autoinhibition.",Annotated by sequence similarity,,
Uncharacterized protein,CV_0310,633,Q7P1A3,Chromobacterium violaceum (strain ATCC 12472 / DSM 30191 / JCM 1249 / NBRC 12614 / NCIMB 9131 / NCTC 9757),173-398(HAMP and GGDEF domains),21304926,"Bis-(39-59) cyclic dimeric guanosine monophosphate (c-d-GMP) is a monocyclic RNA dinucleotide controlling biofilm formation via a transmembrane receptor LapD, a periplasmic cysteine protease LapG, and surface adhesin protein LapA depending on the level of phosphate in the medium. When the phosphate level is low, LapD is held in the “off” state by interactions of their EAL domain (LapD 399-648), with the S helix (LapD 171-238) and the GGDEF domain (LapD 238-399), which allows the proteolytic reaction of LapA on the cell surface, and consequently biofilm dispersal. Interaction of c-d-GMP to the phosphodiesterase binding site on the EAL domain is required to stimulate the receptor (LapD) by release the S helix and the GGDEF domain facilitating the formation of a trans-subunit dimer interface, the binding of LapG to LapD’s output domain, and consequently permitting the activation of LapA to form biofilm. ",Annotated by sequence similarity,,
"Cytohesin-1 (PH, SEC7 and coiled-coil domain-containing protein 1) (SEC7 homolog B2-1)",CYTH1 D17S811E PSCD1,398,Q15438,Homo sapiens (Human),248-260(Sec7-PH linker);376-395(C-terminal helix/polybasic region),23940353,"Cytohesin-1 (CYTH1) promotes guanine-nucleotide exchange on ARF5, ARF3, and ARF6. Cytohesins share a modular architecture consisting of heptad repeats, a Sec7 domain with exchange activity for Arf1 and Arf6, a PH domain that binds phosphatidyl inositol (PI) polyphosphates, and a C-terminal helix (CtH) that overlaps with a polybasic region (PBR). In human CYTH3 (O43739), it is autoinhibited by the Sec7-PH linker and CtH/PBR, which obstruct substrate binding. The autoinhibition can be relieved by Arf6-GTP binding in the presence of the PIP3 head group. The autoinhibitory regions of CYTH1 were annotated by sequence similarity.",Annotated by sequence similarity,,
"Cytohesin-2 (ARF exchange factor) (ARF nucleotide-binding site opener) (Protein ARNO) (PH, SEC7 and coiled-coil domain-containing protein 2)",CYTH2 ARNO PSCD2 PSCD2L,400,Q99418,Homo sapiens (Human),247-259(Sec7-PH linker);375-394(C-terminal helix/polybasic region),23940353,"Cytohesin-2 (CYTH2) promotes guanine-nucleotide exchange on ARF1, ARF3, and ARF6. Cytohesins share a modular architecture consisting of heptad repeats, a Sec7 domain with exchange activity for Arf1 and Arf6, a PH domain that binds phosphatidyl inositol (PI) polyphosphates, and a C-terminal helix (CtH) that overlaps with a polybasic region (PBR). In human CYTH3 (O43739), it is autoinhibited by the Sec7-PH linker and CtH/PBR, which obstruct substrate binding. The autoinhibition can be relieved by Arf6-GTP binding in the presence of the PIP3 head group. The autoinhibitory regions of CYTH2 were annotated by sequence similarity.",Annotated by sequence similarity,,
"Cytohesin-4 (PH, SEC7 and coiled-coil domain-containing protein 4)",CYTH4 CYT4 PSCD4,394,Q9UIA0,Homo sapiens (Human),247-259(Sec7-PH linker);374-393(C-terminal helix/polybasic region),23940353,"Cytohesin-4 (CYTH4) promotes guanine-nucleotide exchange on ARF1 and ARF5. Cytohesins share a modular architecture consisting of heptad repeats, a Sec7 domain with exchange activity for Arf1 and Arf6, a PH domain that binds phosphatidyl inositol (PI) polyphosphates, and a C-terminal helix (CtH) that overlaps with a polybasic region (PBR). In human CYTH3 (O43739), it is autoinhibited by the Sec7-PH linker and CtH/PBR, which obstruct substrate binding. The autoinhibition can be relieved by Arf6-GTP binding in the presence of the PIP3 head group. The autoinhibitory regions of CYTH4 were annotated by sequence similarity.",Annotated by sequence similarity,,
Disheveled-associated activator of morphogenesis 2,DAAM2 KIAA0381,1068,Q86T65,Homo sapiens (Human),36-473(DID domain);1012-1043(DAD domain),20223827,"Diaphanous-related formins (DRFs), such as DAAM2, play central roles in actin dynamics through assembling linear actin filaments. In human DAAM1 (Q9Y4D1), the amino-terminal diaphanous inhibitory domain (DID) and the carboxyl-terminal diaphanous autoinhibitory domain (DAD) segment form an intramolecular interaction to restrain the actin assembly activity of FH1-FH2 domains. This autoinhibition is disrupted by Rho GTPase that is able to bind to the GBD domain near DID domain. The autoinhibitory region of DAAM2 was annotated by sequence similarity.",Annotated by sequence similarity,,
ATP-dependent RNA helicase DDX19A (EC 3.6.4.13) (DEAD box protein 19A),DDX19A,478,Q3ZBV2,Bos taurus (Bovine),54-67(N-terminal extension helix),,"Annotation identified by sequence similarity was extracted from UniProt. The N-terminal extension helix acts as an autoinhibitory domain, preventing ATP hydrolysis, unless the N-terminus of the protein is displaced by RNA binding, allowing cleft closure to bring key side chains into position for catalysis.",Annotated by sequence similarity,,
ATP-dependent RNA helicase DDX19A (EC 3.6.4.13) (DEAD box RNA helicase DEAD5) (mDEAD5) (DEAD box protein 19A) (Eukaryotic translation initiation factor 4A-related sequence 1),Ddx19a Ddx19 Eif4a-rs1,478,Q61655,Mus musculus (Mouse),54-67(N-terminal extension helix),,"Annotation identified by sequence similarity was extracted from UniProt. The N-terminal extension helix acts as an autoinhibitory domain, preventing ATP hydrolysis, unless the N-terminus of the protein is displaced by RNA binding, allowing cleft closure to bring key side chains into position for catalysis.",Annotated by sequence similarity,,
"ATP-dependent RNA helicase DDX3X (EC 3.6.4.13) (D1Pas1-related sequence 2) (DEAD box RNA helicase DEAD3) (mDEAD3) (DEAD box protein 3, X-chromosomal) (Embryonic RNA helicase)",Ddx3x D1Pas1-rs2 Ddx3 Dead3 Erh,662,Q62167,Mus musculus (Mouse),"132-182(N-terminal extension),544-607(C-terminal extension)",26598523,"Annotation was made based on sequence similarity with DDX3X(O00571, Homo sapiens). The Ded1/DDX3 subfamily of DEAD-box proteins is of particular interest as members function during protein translation, are essential for viability, and are frequently altered in human malignancies.  The N- and C-terminal extensions are essential for function in the Ded1/DDX3 subfamily of DEAD-box proteins. The removal of the N-terminal 131 and C-terminal 55 residues yields an active construct of DDX3.",Annotated by sequence similarity,,
Antiviral innate immune response receptor RIG-I (DEAD box protein 58) (Probable ATP-dependent RNA helicase DDX58) (EC 3.6.4.13) (RIG-I-like receptor 1) (RLR-1) (Retinoic acid-inducible gene 1 protein) (RIG-1) (Retinoic acid-inducible gene I protein) (RIG-I),Ddx58,926,Q6Q899,Mus musculus (Mouse),794-925(Repressor domain),"23950712, 17392790","Retinoic-acid-inducible gene-I (RIG-I; also called DDX58) is a cytosolic viral RNA receptor that interacts with MAVS to induce type I interferon-mediated host protective innate immunity against viral infection. The amino-terminal caspase recruitment domains (CARDs) of RIG-I undergo robust ubiquitination induced by TRIM25 that is involved in cell proliferation and antiviral activity in mammalian cells. In resting cells, RIG-I RD (a C-terminal repressor domain) represses its CARDs signaling. After viral infection, RIG-I RD recognizes 5’-triphosphate double-stranded RNA (dsRNA), which results in a conformational change in the RIG-I protein. The RD domain was identified by sequence similarity with human Ddx58 (O95786).",Annotated by sequence similarity,,
Antiviral innate immune response receptor RIG-I (DEAD box protein 58) (Probable ATP-dependent RNA helicase DDX58) (EC 3.6.4.13) (RHIV-1) (RIG-I-like receptor 1) (RLR-1) (RNA helicase induced by virus) (Retinoic acid-inducible gene 1 protein) (RIG-1) (Retinoic acid-inducible gene I protein) (RIG-I),DDX58,940,Q9GLV6,Sus scrofa (Pig),795-928(Repressor domain),"23950712, 17392790","Retinoic-acid-inducible gene-I (RIG-I; also called DDX58) is a cytosolic viral RNA receptor that interacts with MAVS to induce type I interferon-mediated host protective innate immunity against viral infection. The amino-terminal caspase recruitment domains (CARDs) of RIG-I undergo robust ubiquitination induced by TRIM25 that is involved in cell proliferation and antiviral activity in mammalian cells. In resting cells, RIG-I RD (a C-terminal Repressor domain) represses its CARDs signaling. After viral infection, RIG-I RD recognizes 5’-triphosphate double-stranded RNA (dsRNA), which results in a conformational change in the RIG-I protein.   The RD domain was identified by sequence similarity with human Ddx58 (O95786).",Annotated by sequence similarity,,
